id,addr_gba,scene,context,max_bytes,max_chars,en,mt,final,status,notes
002BAA59,0x82BAA59,main-text,,117,58,"Oh, may I ask you a question before[/n]showing you my latest research?[/p]If you don't have the basics I'll just[/n]bore you.","哦, 在给你看我最新的研究之前能问[/n]你个问题吗?[/p]如果你连基础都不懂, 我讲了也是白[/n]费口舌.",,machine-translated, [ptr:0x2ba408]
002BAACE,0x82BAACE,main-text,,33,16,"Alright, see you next time then.","好吧, 那下次再见了.",,machine-translated, [ptr:0x2ba424]
002BAAEF,0x82BAAEF,main-text,,53,26,"Alright, how many i's and o's have I said[/n]since now?","好吧, 从刚才到现在我[/n]说了多少个i和o?",,machine-translated, [ptr:0x2ba4c1]
002BAB24,0x82BAB24,main-text,,40,19,"Easy enough, you follow. Lets go ahead!","很简单, 你跟着我走就行.走吧!",,machine-translated, [ptr:0x2ba511]
002BAB4C,0x82BAB4C,main-text,,18,8,What is a Metang?,什么是金属怪?,,machine-translated, [ptr:0x2ba4e9]
002BAB5E,0x82BAB5E,main-text,,62,30,"From a genetics point of view, all[/n]Pokémon are 99% Scorbunny.","从遗传学的角度来说, 所有宝可梦都[/n]有99%是炎兔儿.",,machine-translated, [ptr:0x2ba520]
002BAB9C,0x82BAB9C,main-text,,35,17,Who is the nicest girl gym leader?,谁是最温柔的女馆主?,,machine-translated, [ptr:0x2ba472]
002BABBF,0x82BABBF,main-text,,27,13,As long it's not Flannery.,只要不是亚莎就行.,,machine-translated, [ptr:0x2ba494]
002BABDA,0x82BABDA,main-text,,67,33,"WROOONG! How can someone be wrong on[/n]that. That's it, I'm leaving!","大错特错! 你怎么能连这种事都搞错.[/n]算了, 我走了!",,machine-translated, [ptr:0x2ba535]
002BAC21,0x82BAC21,main-text,,11,5,Someone...,某人...,,machine-translated, [ptr:0x2ba5a8]
002BAC2C,0x82BAC2C,main-text,,33,16,Someone stole my research again!,又有人偷了我的研究资料!,,machine-translated, [ptr:0x2ba5c8]
002BAC4D,0x82BAC4D,main-text,,17,8,TEAM AQUAAAAAA!!,水水水水水队!!,,machine-translated, [ptr:0x2ba5d5]
002BAC5E,0x82BAC5E,main-text,,14,6,AAAAAAAAAH!!!,啊啊啊啊啊!!!,,machine-translated, [ptr:0x2ba5dd]
002BAC6C,0x82BAC6C,main-text,,28,13,(He teleported out of rage),(他气得瞬间转移走了),,machine-translated, [ptr:0x2ba5ec]
002BAC88,0x82BAC88,main-text,,4,1,Yes,是,,machine-translated, [ptr:0x2ba4ca]
002BACBA,0x82BACBA,main-text,,4,1,Yes,是,,machine-translated, [ptr:0x2ba4f2]
002BACDD,0x82BACDD,main-text,,4,1,Yes,是,,machine-translated, [ptr:0x2ba47b]
002BAF86,0x82BAF86,main-text,,37,18,Okay![/n]We're to move out to Mt. Pyre!,好![/n]我们出发去烟突山吧!,,machine-translated, [ptr:0x2bad82]
002BAFAB,0x82BAFAB,main-text,,83,41,Ahead looms Mt. Pyre[...][/p]It is a natural monument to the spirits[/n]of departed Pokémon[...],前方耸立着烟突山[...][/p]它是对已故宝可梦的[/n]灵魂的天然纪念碑[...],,machine-translated, [ptr:0x2bad58]
002BAFFE,0x82BAFFE,main-text,,75,37,Mt. Pyre Pier[/p][...]The sign is old and worn out.[/n]The words are barely legible[...],烟突山码头[/p][...]告示牌已经老旧磨损.[/n]上面的字几乎看不清了[...],,machine-translated, [ptr:0x2bad61]
002BB049,0x82BB049,main-text,,40,19,“Filled with rare Pokémon!”[/n]Safari Zone,“栖息着珍稀宝可梦!”[/n]狩猎地带,,machine-translated, [ptr:0x2bad6a]
002BB071,0x82BB071,main-text,,16,7,Skitty: Meenya?,向尾喵: 喵~?,,machine-translated, [ptr:0x2bad12]
002BB081,0x82BB081,main-text,,99,49,I am a wandering[/n]Pokémon Center employee.[/p]Why don't I take care of your[/n]Pokémon's ills in a flash?,我是一名四处游走的[/n]宝可中心工作人员.[/p]要我帮你治疗[/n]宝可梦的伤痛吗?,,machine-translated, [ptr:0x2bad1f]
002BB0E4,0x82BB0E4,main-text,,55,27,I took care of all that ailed[/n]your Pokémon in a flash!,我已经帮你把[/n]宝可梦的伤痛全部治好了!,,machine-translated, [ptr:0x2bad44]
002BB11B,0x82BB11B,main-text,,38,18,Okay then![/n]Good luck on your journey!,那就这样![/n]祝你旅途顺利!,,machine-translated, [ptr:0x2bad4e]
002BB217,0x82BB217,main-text,,134,66,"Sage: Hear me now, fair wanderer, for I[/n]bring forth a tale of valor and might,[/p]Of three noble swords that shimmer in[/n]justice's light.","贤者: 请听我说, 善良的旅人,我要[/n]讲述一个关于英勇和力量的故事,[/p][/n]三把闪耀着正义之光的宝剑.",,machine-translated, [ptr:0x2bb145]
002BB5F8,0x82BB5F8,main-text,,157,78,"Triumphant now, your quest complete,[/p]your efforts rewarded, the Swords now[/n]near.[/p]Show yourself, give them a treat,[/p]Victory's embrace, your heart holds[/n]dear.","现在你凯旋而归,[/p]你的付出得到了回报, 三剑已近在眼[/n]前.[/n][/p]展现自己吧, 给它们一个惊喜,[/p]拥抱胜利, 珍视你心中[/n]最重要的东西.",,machine-translated, [ptr:0x2bb18e]
002BB695,0x82BB695,main-text,,182,90,"You stand at the route's final bend,[/p]For your journey is near completion,[/n]victory in sight![/p]To catch the Swords of Justice, you[/n]must transcend,[/p]by triumphing over others with might!","你来到了道路的最后一个弯道,[/p]你的旅程即将完成,[/n]胜利就在眼前![/p]要捕捉传说的剑之王,[/n]你必须超越自我,[/p]用实力战胜其他对手!",,machine-translated, [ptr:0x2bb174]
002BB74B,0x82BB74B,main-text,,117,58,"Fair traveler, I see your heart seeks a[/n]different path,[/p]Yet do reconsider, this tale may kindle[/n]a lasting aftermath.","善良的旅人, 我看到你的心在追求另[/n]一条道路,[/p]但请三思, 这个故事或许会点燃持久[/n]的余烬.",,machine-translated, [ptr:0x2bb158]
002BBA50,0x82BBA50,main-text,,25,12, any Grass-type Pokémon?, 草系宝可梦?,,machine-translated, [ptr:0x5a1950]
002BBADB,0x82BBADB,main-text,,66,32,I check trees with my Grass-type[/n]Pokémon. I'm like a tree doctor.,我用草系宝可梦[/n]检查树木.我就像树的医生.,,machine-translated, [ptr:0x2bb7cf;0x2bb7db]
002BBB1D,0x82BBB1D,main-text,,24,11,[R] Route 123[/n][L] Route 118,[R] 123号道路[/n][L] 118号道路,,machine-translated, [ptr:0x2bb7e5]
002BBB35,0x82BBB35,main-text,,46,22,[u] Mt. Pyre[/n]“Forbidden to the faint of heart.”,[u] 烟突山[/n]“胆小者不得入内.”,,machine-translated, [ptr:0x2bb7ee]
002BBB63,0x82BBB63,main-text,,21,10,Berry Master's House,树果大师之家,,machine-translated, [ptr:0x2bb7f7]
002BBD0E,0x82BBD0E,main-text,,96,47,Sage: three Dragons of legend tread[/n]carefully around us. Want to learn more[/l]about who they are?,贤者: 传说中的三只龙正[/n]在我们身边徘徊.你想[/l]了解更多它们[/p]的事吗?,,machine-translated, [ptr:0x2bbb7c]
002BBF8B,0x82BBF8B,main-text,,154,76,"Your Chi is harmonious, and your soul is[/n]in accord with itself. I grant you the[/l]privilege of meeting the Tao trio. Use[/l]your Dexnav, they will now appear.","你的气和谐圆满, 灵魂与自身融为一[/n]体.我准许你[/l]面见道之三龙.用[/l]你的宝[/p]可追踪器, 它们现在就会出现.",,machine-translated, [ptr:0x2bbbc5]
002BC025,0x82BC025,main-text,,189,94,"Seeker of balance, your efforts have[/n]been noticed. The Tao dragons have[/l]taken notice of your actions, but would[/l]like one final confirmation. Defeat[/l]every trainer on the route to meet[/l]them!","追求平衡的人, 你的努力已被注意到.[/n]道之三龙已经关注了你的[/l]行为, 但[/p]它们想再[/l]做最后的确认.[/l]打败这条路[/n]上的每一个训练家,[/l]就能见到它们!",,machine-translated, [ptr:0x2bbbab]
002BC0E2,0x82BC0E2,main-text,,41,20,"Well then, I suppose we won't get along.","这样的话, 我想我们相处不来.",,machine-translated, [ptr:0x2bbb8f]
002BC10B,0x82BC10B,main-text,,62,30,Why hello there. Do you want to pet my[/n]dogs? They don't bite!,你好呀.你想摸摸我的[/n]狗狗们吗? 它们不咬人的!,,machine-translated, [ptr:0x2bbcc1]
002BC149,0x82BC149,main-text,,18,8,"Ah! Granbull, no!","啊! 布鲁皇, 不!",,machine-translated, [ptr:0x2bbce1]
002BC15B,0x82BC15B,main-text,,23,11,"I'm so, so, so, sorry!","对不起, 对不起, 对不起!",,machine-translated, [ptr:0x2bbced]
002BC172,0x82BC172,main-text,,146,72,"I'm so sorry! I didn't expect all 6 of[/n]them to jump out of their Pokéballs like[/l]that! They usually don't bite. Please,[/l]take this as compensation.",真的非常抱歉! 我没想到[/n]它们六只都会从精灵球里[/l]跳出来! 它[/p]们平时不咬人的.[/l]请收下这个当作赔[/n]偿.,,machine-translated, [ptr:0x2bbcf3]
002BC204,0x82BC204,main-text,,40,19,"Aww, alright. I swear, they don't bite.","哎, 好吧.我保证, 它们不咬人.",,machine-translated, [ptr:0x2bbcd4]
002BC22C,0x82BC22C,main-text,,81,40,"Again, I'm so sorry. My dogs are all[/n]usually very kind, and wouldn't hurt a[/l]fly!","再次抱歉.我的狗狗们平时[/n]都非常温顺, 连一只苍蝇[/l]都不会伤害!",,machine-translated, [ptr:0x2bbcb4]
002BC27D,0x82BC27D,main-text,,111,55,"Hm? Ooh. You seem fun. Hey, if you come[/n]back after defeating those twins in[/l]Mossdeep, I'll give you something!","嗯? 哦.你看起来挺有趣的.嘿, 如果[/n]你在击败了绿岭市那对双胞胎之后再[/p]来找我,[/l]我会送你一样东西!",,machine-translated, [ptr:0x2bbca1]
002BC48C,0x82BC48C,main-text,,15,7,Hunter's House,猎人之家,,machine-translated, [ptr:0x2bc2fe]
002BC525,0x82BC525,main-text,,51,25,It's so c-c-cold here! My hands are[/n]sha-shaking...,这里好好好好冷啊! 我的手在哆哆嗦[/n]嗦......,,machine-translated, [ptr:0x2bc4a1]
002BC558,0x82BC558,main-text,,64,31,ow could I win when I can b-b-barely[/n]point a Pokeball straight?,"我怎么可能赢得了, 我连精灵球都拿[/n]不稳......",,machine-translated, [ptr:0x2bc4a5]
002BC598,0x82BC598,main-text,,62,30,I r-r-really need to get some better[/n]gloves. And a new hat...,我真的[/n]得买一副好手套了.还有新帽子......,,machine-translated, [ptr:0x2bc4ab]
002BC5D6,0x82BC5D6,main-text,,70,34,"Y'know, I used to sled down Mt Chimney,[/n]but skiing is a lot smoother.","你知道吗, 我以前是从[/n]烟囱山滑下来的, 不过滑雪要顺滑多[/p]了.",,machine-translated, [ptr:0x2bc4b8]
002BC61C,0x82BC61C,main-text,,35,17,"Damn, I really bailed on that one.","可恶, 那一下真的搞砸了.",,machine-translated, [ptr:0x2bc4bc]
002BC63F,0x82BC63F,main-text,,47,23,This really is a good place for winter[/n]sports!,这里真是个进行[/n]冬季运动的好地方!,,machine-translated, [ptr:0x2bc4c2]
002BC66E,0x82BC66E,main-text,,47,23,I guess you want to fight too? Alright[/n]then...,我猜你也想对战? 好吧[/n]那就......,,machine-translated, [ptr:0x2bc4cf]
002BC69D,0x82BC69D,main-text,,19,9,"Yeah, that tracks.","嗯, 这倒是.",,machine-translated, [ptr:0x2bc4d3]
002BC6B0,0x82BC6B0,main-text,,50,24,Who even decides what an 'Ace Trainer'[/n]is anyway?,到底是谁来决定[/n]谁算精英训练家的?,,machine-translated, [ptr:0x2bc4d9]
002BC6E2,0x82BC6E2,main-text,,67,33,"Needing glasses as a trainer sucks,[/n]especially when you lose them.","作为训练家还需要戴眼镜[/n]真是太郁闷了, 尤其是弄丢了的时候.",,machine-translated, [ptr:0x2bc4e6]
002BC725,0x82BC725,main-text,,36,17,That sounded like a great battle...,刚才那场对战听起来很精彩......,,machine-translated, [ptr:0x2bc4ea]
002BC749,0x82BC749,main-text,,70,34,"Oh, those? Those are my Pokémon's[/n]glasses. Did you like our strategy?",那些? 那是我宝可梦的[/n]眼镜.喜欢我们的战术吗?,,machine-translated, [ptr:0x2bc4f0]
002BC78F,0x82BC78F,main-text,,50,24,"Aw, your cheeks are blushing scarlet in[/n]the cold!","哎呀, [/n]你的脸蛋冻得通红了!",,machine-translated, [ptr:0x2bc4fd]
002BC7C1,0x82BC7C1,main-text,,13,6,No! Steelix!,不! 大钢蛇!,,machine-translated, [ptr:0x2bc501]
002BC7CE,0x82BC7CE,main-text,,56,27,Steelix is my best friend. Did you enjoy[/n]the encounter?,大钢蛇是我最好的朋友.刚才的交手[/n]还愉快吗?,,machine-translated, [ptr:0x2bc507]
002BC806,0x82BC806,main-text,,78,38,I came out here to get away from those[/n]Team Magma goons. Do you wanna battle?,,,untranslated, [ptr:0x2bc514]
002BC854,0x82BC854,main-text,,29,14,"Well, that was over quickly.","好吧, 还真快就结束了.",,machine-translated, [ptr:0x2bc518]
002BC871,0x82BC871,main-text,,55,27,You gave me a harder battle than I[/n]expected! Good job.,你给我的对战比[/n]预想的要激烈多了! 干得好.,,machine-translated, [ptr:0x2bc51e]
002BCDAF,0x82BCDAF,main-text,,182,90,"Sage: This is a resting place for some[/n]very unfortunate souls, those being[/l]the Mechanical Wonders. Please don't[/l]desecrate it. I can tell you how they[/l]got here, if you're interested.","贤者: 这里是某些[/n]非常不幸的灵魂的安息之所,[/l]也就是[/p]机械奇观.请不要[/l]亵渎它.如果你感兴[/n]趣的话,[/l]我可以告诉你它们是怎么来[/p]到这里的.",,machine-translated, [ptr:0x2bcc6f]
002BD1DC,0x82BD1DC,main-text,,188,93,You have demonstrated the strength[/n]and compassion necessary to form an[/l]unbreakable bond with these creatures.[/p]I updated your DexNav with their[/n]location. Go forth: they're waiting for[/l]you.,你已经展现了与这些[/n]生物建立牢固纽带所需的[/l]力量与慈悲.[/p]我已经在[/p]你的宝可追踪器上更新了[/n]它们的位置.去吧: 它们在[/l]等着你.,,machine-translated, [ptr:0x2bccb8]
002BD298,0x82BD298,main-text,,174,86,"You have the curiosity of the[/n]Mechanical Marvels on your side. Show[/l]them your strength on this route:[/l]defeat these last few trainers first,[/l]and I'll show you their location.","你已经赢得了机械奇观的[/n]信任.在这条路上[/l]展现你的实力吧:[/l]先[/p]打败剩下的训练家,[/l]我就告诉你它们[/n]的位置.",,machine-translated, [ptr:0x2bcc9e]
002BD346,0x82BD346,main-text,,17,8,Tread carefully.,小心行事.,,machine-translated, [ptr:0x2bcc82]
002BD357,0x82BD357,main-text,,44,21,"I approach, and it's time for us to[/n]battle!","我来了, 是时候[/n]来一场对战了!",,machine-translated, [ptr:0x2bcd2b]
002BD383,0x82BD383,main-text,,43,21,Didn't expect to meet a big shot like[/n]you!,没想到会遇到[/n]你这种大人物!,,machine-translated, [ptr:0x2bcd2f]
002BD3AE,0x82BD3AE,main-text,,57,28,"Man, I just came here for a ride around[/n]Mossdeep City...","唉, 我来这里只是想在[/n]绿岭市转转......",,machine-translated, [ptr:0x2bcd35]
002BD3E7,0x82BD3E7,main-text,,71,35,"Let's make this quick, my goggles are[/n]cracked so I need to leave soon.","快点开始吧, 我的护目镜[/n]碎了, 得早点走.",,machine-translated, [ptr:0x2bcd42]
002BD42E,0x82BD42E,main-text,,27,13,Ending on a loss...[/n]Great.,以失败收场......[/n]真好.,,machine-translated, [ptr:0x2bcd46]
002BD449,0x82BD449,main-text,,54,26,I'm struggling to see a little from the[/n]snow glare...,雪地的反光[/n]让我有点看不清......,,machine-translated, [ptr:0x2bcd4c]
002BD47F,0x82BD47F,main-text,,51,25,This is the coldest part of Hoenn! I[/n]love it here!,这是丰缘最冷的地方! 我[/n]喜欢这里!,,machine-translated, [ptr:0x2bcd59]
002BD4B2,0x82BD4B2,main-text,,27,13,Skidded right to a halt...,一路滑过来刚好停住......,,machine-translated, [ptr:0x2bcd5d]
002BD4CD,0x82BD4CD,main-text,,54,26,You've actually handled this[/n]environment really well.,你对这个[/n]环境适应得真的很不错.,,machine-translated, [ptr:0x2bcd63]
002BD503,0x82BD503,main-text,,37,18,Don't mind me I'm just a placeholder,"别在意我, 我只是个占位符",,machine-translated, [ptr:0x2bcd70;0x2bcd87;0x2bcd9e]
002BD528,0x82BD528,main-text,,42,20,I guess even placeholders can be[/n]defeated,看来即使是占位符也会[/n]被打败,,machine-translated, [ptr:0x2bcd74;0x2bcd8b;0x2bcda2]
002BD552,0x82BD552,main-text,,31,15,This is a dummy text isn't it?,这是假的文本吧?,,machine-translated, [ptr:0x2bcd7a;0x2bcd91;0x2bcda8]
002BD810,0x82BD810,main-text,,83,41,Archie: What happened[...][/n]What is this wretched scene[...][/p]Did I[...]make a horrible mistake?,水梧桐: 发生了什么[...][/n]这是多么惨不忍睹的[...][/p]难道我[...]犯了一个可怕的错误?,,machine-translated, [ptr:0x2bd5a0]
002BD863,0x82BD863,main-text,,18,8,I[...][/n]I only wanted[...],我[...][/n]我只是想要[...],,machine-translated, [ptr:0x2bd5b3]
002BD875,0x82BD875,main-text,,196,97,"Maxie: Do you understand now,[/n]Archie?[/p]Do you finally see how disastrous[/n]your dream turned out to be?[/p]We have to hurry! We have to do[/n]something before the situation goes[/l]completely out of control!","赤焰松: 你明白了吗,[/n]水梧桐?[/p]你现在终于看到你的梦想[/n]造成了多大的灾难吗?[/p]我们必须赶快行动![/n]在情况完全失控之前[/l]我们得做点什么!",,machine-translated, [ptr:0x2bd5d0]
002BDA69,0x82BDA69,main-text,,122,60,Maxie: This defies belief[...][/p]Those super-ancient Pokémon[...][/p]Their power is unbelievable.[/n]They've upset the balance of nature[...],赤焰松: 简直令人难以置信[...][/p]那些超级古代宝可梦[...][/p]它们的力量难以置信.[/n]它们已经打破了自然的平衡[...],,machine-translated, [ptr:0x2bd60e]
002BDAE3,0x82BDAE3,main-text,,33,16,Steven: [玩家][fd08]![/n]What is happening?,大吾: [玩家][fd08]![/n]发生什么事了?,,machine-translated, [ptr:0x2bd655]
002BDC35,0x82BDC35,main-text,,105,52,"[玩家][fd08][...][/n]I don't know what you intend to do,[/l]but don't do anything reckless.[/p]Okay.[/n]I'm going to Sootopolis.","[玩家][fd08][...][/n]我不知道你打算做什么,[/l]但不要做鲁[/p]莽的事.[/p]好了.[/n]我要去琉璃市.",,machine-translated, [ptr:0x2bd681]
002BDD4A,0x82BDD4A,main-text,,244,121,"Sage: Not only am I a sage, but once[/n]upon a time I was a bard, too. A good one[/l]at that... but a long time has passed. I[/l]used to sing the legend of King Calyrex,[/l]the righteous king turned mad by power.[/l]Do you want to hear me sing one last[/l]time?","贤者: 我不仅是贤者, 曾经还是一名[/n]诗人呢.而且还是个不错[/l]的诗人......[/p]但已经很久了.[/l]我以前经常唱蕾冠王[/n]的传说,[/l]那个公正的国王被权力[/l]逼疯[/p]的故事.[/l]你想听我再唱一次吗?",,machine-translated, [ptr:0x2bdca2]
002BE277,0x82BE277,main-text,,150,74,"Tapu Koko, Tapu Bulu and Glastrier have[/n]deemed you worthy of meeting them. I[/l]marked their location on your DexNav:[/l]use it on this route to meet them!","卡璞·鸣鸣,卡璞·哞哞和雪暴马认为[/n]你值得与它们见面.[/l]我已经在你的宝[/p]可追踪器上标注了[/l]它们的位置: 用它[/n]在这条路上就能遇到它们!",,machine-translated, [ptr:0x2bdceb]
002BE30D,0x82BE30D,main-text,,181,90,"The Tapus and the King's steed admire[/n]your dedication to becoming champion,[/l]but would like to see some more action[/l]from you! Defeat every trainer in this[/l]route and come back to me!","诸神和国王的坐骑都佩服你成为冠军[/n]的决心, 但想看到你[/l]展现更多的实力![/p][/l]打败这条路上的所有训练家,[/l]然后回[/n]来找我!",,machine-translated, [ptr:0x2bdcd1]
002BE3C2,0x82BE3C2,main-text,,64,31,You know there's nothing left of me...[/n]Let me sing... please...,你知道我已经一无所有了......让我[/n]唱歌吧......求你了......,,machine-translated, [ptr:0x2bdcb5]
002BE713,0x82BE713,main-text,,52,25,"Sage: There's no time to explain, will[/n]you help us?","贤者: 没时间解释了, 你[/n]能帮帮我们吗?",,machine-translated, [ptr:0x2be66b]
002BE9EC,0x82BE9EC,main-text,,31,15, this disgrace from[/l]happening!, 不要让这种耻辱[/l]发生!,,machine-translated, [ptr:0x12836a1]
002BEA0B,0x82BEA0B,main-text,,199,99,"Great job with those trainers! Finally,[/n]we're ready to proceed: I marked[/l]Necrozma's location on your DexNav.[/p]The stakes couldn't be higher, but I'm[/n]sure you'll succeed in bringing this[/l]monster down!","干得好, 那些训练家都被打败了! 终[/n]于我们可以继续了: 我在你的[/l]宝可追[/p]踪器上标注了奈克洛兹玛的[/p]位置.虽然风险极大, 但我[/n]相信你一定能打倒[/l]这个怪物!",,machine-translated, [ptr:0x2be6b4]
002BEAD2,0x82BEAD2,main-text,,135,67,"Finally you came back! Before[/n]proceeding, make sure no one's getting[/l]caught in the crossfire: defeat all[/l]trainers in this route first!","你终于回来了! 在[/n]继续之前, 确保没人被[/l]卷入战斗: 先[/p]打败这条路[/l]上所有的训练家!",,machine-translated, [ptr:0x2be69a]
002BEB59,0x82BEB59,main-text,,20,9,No time to explain!,没时间解释了!,,machine-translated, [ptr:0x2be67e]
002BF22E,0x82BF22E,main-text,,213,106,"Your heart is in the right place, and[/n]your strength is the one of a great[/l]trainer. I added the location of some of[/l]the Ultra Beasts in your DexNav. There[/l]might be more in other routes, too: try[/l]to catch them all!","你的心地善良, 而且[/n]你的实力堪比优秀的训练家.[/l]我在你[/p]的宝可追踪器上添加了[/l]一些究极异兽[/n]的位置.其他[/l]道路上可能还有更多:[/l]试[/p]着把它们全部抓到吧!",,machine-translated, [ptr:0x2bec73]
002BF303,0x82BF303,main-text,,171,85,"You have demonstrated great strenght[/n]so far. But I want to see it with my[/l]eyes! Defeat these last few trainers,[/l]and I'll show you the place where the[/l]Ultra Beasts reside.","你至今展现了非凡的[/n]实力.但我要亲眼看看![/l]打败剩下的[/p]训练家,[/l]我就带你去[/l]究极异兽栖息的[/n]地方.",,machine-translated, [ptr:0x2bec59]
002BF3AE,0x82BF3AE,main-text,,21,10,Stay safe out there.,注意安全.,,machine-translated, [ptr:0x2bec3d]
002BF3C3,0x82BF3C3,main-text,,153,76,"Gyarados locks eyes with you, its[/n]challenging stare conveying a clear[/l]invitation to a fierce battle. Do you[/l]possess the courage to accept the[/l]challenge?","暴鲤龙与你对视, 它那[/n]充满挑战的眼神发出了[/l]激烈战斗的邀[/p]请.你[/l]有勇气接受[/l]这个挑战吗?",,machine-translated, [ptr:0x2becfb]
002BF45C,0x82BF45C,main-text,,17,8,Gyarados: Gyara!,暴鲤龙: 咿嘎!,,machine-translated, [ptr:0x2bed22]
002BF46D,0x82BF46D,main-text,,17,8,The [buffer1] ran away!,[buffer1]逃跑了!,,machine-translated, [ptr:0x2bedd9]
002BF47E,0x82BF47E,main-text,,19,9,Gyarados: Gyara...,暴鲤龙: 咿嘎......,,machine-translated, [ptr:0x2bed13]
002BF491,0x82BF491,main-text,,150,74,"Gyarados gazes past you, as though[/n]you're invisible, suggesting that you[/l]may want to come back when you possess[/l]the strength to rival its presence.[/c]Ì","暴鲤龙从你身边掠过, 仿佛你不存在[/n]一样, 暗示[/l]你也许应该在拥有[/l]与它匹[/p]敌的实力之后[/c]再来.",,machine-translated, [ptr:0x2bede5]
002BF527,0x82BF527,main-text,,79,39,"Gyarados seems to want to join your[/n]team, will you let this Gyarados join[/l]you?","暴鲤龙似乎想加入[/n]你的队伍, 你愿意让这只暴鲤龙[/l]加入[/p]吗?",,machine-translated, [ptr:0x2beded]
002BF576,0x82BF576,main-text,,24,11,[玩家] received a Gyarados!,[玩家]收到了一只暴鲤龙!,,machine-translated, [ptr:0x2bee34]
002BF58E,0x82BF58E,main-text,,29,14,[玩家] received a Gyaradosite Y!,[玩家]收到了暴鲤龙进化石Y!,,machine-translated, [ptr:0x2bee58]
002BF725,0x82BF725,main-text,,6,2,Siii!,嘶!,,machine-translated, [ptr:0x2bf710]
002BF72B,0x82BF72B,main-text,,253,126,"Oh, hey, it's [玩家]![/n]Mind giving us a hand?[/p]We've been stuck on this island[/n]for hours![/p]I Surfed out here on my Audino, but[/n]it forgot the move, and then a[/l]certain pink blob smashed my Surf HM![/p]Can I borrow yours for a moment?[/n]I'll make it worth your while!","嘿, 是[玩家]![/n]能帮个忙吗?[/p]我们被困在这个岛上[/n]好几个小时了![/p]我是骑着差不多娃娃冲浪过来的,结[/n]果它忘了这招, 然后一只粉色的家伙[/p]把我的冲浪秘传机[/l]给砸坏了![/p]能借你的用一下吗?[/n]我一定会补偿你的!",,machine-translated, [ptr:0x2bf690]
002BF828,0x82BF828,main-text,,36,17,"Really? Please, I'm desperate here!","真的吗? 求你了, 我快绝望了!",,machine-translated, [ptr:0x2bf6fb]
002BF84C,0x82BF84C,main-text,,57,28,"So, can I borrow your Surf HM?[/n]It'll only take a moment!","那么, 能借你的冲浪秘传机吗?只要[/n]一会儿就好!",,machine-translated, [ptr:0x2bf6de]
002BF885,0x82BF885,main-text,,41,20,Thanks! I'll just teach it to[/n]my Audino[...],谢谢! 我这就教给[/n]我的差不多娃娃[...],,machine-translated, [ptr:0x2bf6a3]
002BF8AE,0x82BF8AE,main-text,,143,71,"And[...] done![/p]Thanks again, [玩家]. As a reward,[/n]I'll make sure you get an extra dose[/l]whenever you refill your Poké Vial[/l]from now on.[/p]See you around!","好了, [...]完成了![/p]再次感谢你, [玩家].[/n]作为回报, 以后你每次在[/l]宝可汽水机[/p]补充的时候,[/l]我会给你多加一些.[/p]再见!",,machine-translated, [ptr:0x2bf6b2]
002BF9E9,0x82BF9E9,main-text,,72,35,Sage: Some more Ultra Beasts reside[/n]here. Want to know more about them?,贤者: 这里还住着更多[/n]究极异兽.想了解更多吗?,,machine-translated, [ptr:0x2bf941]
002BFBF2,0x82BFBF2,main-text,,127,63,"Yes, I had no doubts: you are worthy of[/n]meeting the Ultra Beasts. I marked[/l]their location on your DexNav: use it to[/l]meet them.","没错, 我没有看错: 你值得与究极异[/n]兽见面.[/l]我在你的宝可追踪器上标注[/p]了[/l]它们的位置: 用它去见它们吧.",,machine-translated, [ptr:0x2bf98a]
002BFC71,0x82BFC71,main-text,,207,103,"You remembered our little promise. Good.[/n]Just one more thing before I show you[/l]the Beasts' location: there's a couple[/l]of trainers loose in this route. How[/l]about you take them down and come back[/l]to me, yeah?","你记得我们的约定.很好.[/n]在给你看异兽的位置之前,[/l]还有一件[/p]事: 这条路上[/l]还游荡着几个训练家.[/n]你[/l]去打败他们之后再回来找我,[/l]好吗?",,machine-translated, [ptr:0x2bf970]
002BFD40,0x82BFD40,main-text,,26,12,Don't lean into calamity.,不要招惹灾祸.,,machine-translated, [ptr:0x2bf954]
002BFF00,0x82BFF00,main-text,,98,48,Sage: The last of the Ultra Beasts[/n]reside here. You know the drill: want to[/l]know more about them?,贤者: 最后一批究极异兽[/n]就在这里.你知道规矩: 想[/l]了解更多[/p]关于它们的事吗?,,machine-translated, [ptr:0x2bfe3c]
002BFF62,0x82BFF62,main-text,,151,75,"Like many others, this route houses[/n]some of the Ultra Beasts from outer[/l]space. I will reveal their location[/p]to you, but only when you become[/n]champion!","和许多其他地方一样, 这条路上也栖[/n]息着一些来自外太空的[/l]究极异兽.我[/p]会告诉你它们的[/p]位置, 但前提是你得[/n]成为冠军!",,machine-translated, [ptr:0x2bfe78]
002BFFF9,0x82BFFF9,main-text,,206,102,"You demonstrated great strenght and[/n]resoluteness in your journey, I think[/l]you're ready to meet the Ultra beasts.[/l]Xurkitree, Stakataka and Blacephalon[/l]are hiding here: use your DexNav to see[/l]their location.","你在旅途中展现了非凡的[/n]力量和决心, 我觉得[/l]你已经准备好去[/p]见究极异兽了.[/l]电束木,垒磊石和砰头[/n]小丑[/l]就藏在这里: 用你的宝可追踪器[/l][/p]就能看到它们的位置.",,machine-translated, [ptr:0x2bfe85]
